Soil_Type,Nitrogen,Phosphorus,Potassium
Black Soil,69.0747657352742,53.9544020870548,88.0676247040119
Black Soil,107.329352064655,70.102133899047,32.0810665292761
Black Soil,130.634624070961,67.2045331748393,28.29425168407
Yellow Soil,15.1693012161914,87.4931812942934,14.3366789661177
Cinder Soil,21.8819650847512,89.2697121056817,38.8338853187976
Black Soil,19.6603041053072,6.61657786612573,62.1896074492458
Black Soil,33.7107641536238,42.9098339023627,71.6299662615007
Cinder Soil,70.2952049807773,56.4405535258072,86.6251446700171
Peat Soil,33.3368911108261,7.52052423443769,58.5045905101715
Yellow Soil,87.6208265284295,78.7476510995291,36.7669928510917
Laterite Soil,58.2171916370596,47.2536347112035,27.9383164500794
Peat Soil,147.304716068243,31.6218584274022,45.3549079940079
Black Soil,33.0681645136183,14.3702764332813,26.5918208484059
Black Soil,131.481906749541,13.304347288408,29.3444679213773
Laterite Soil,19.4984810999468,68.8357894085001,25.2079677826449
Yellow Soil,44.5836174250527,74.7579978308262,39.3306436649677
Peat Soil,98.4553432634461,16.7640941936461,77.3393661681455
Cinder Soil,47.4346370114864,78.7766923310782,46.959756568769
Yellow Soil,108.482505141386,18.6357390129298,97.5939102367562
Black Soil,28.6641645439072,30.2945188111004,51.0467044628301
Peat Soil,83.6286742702201,41.5557962292981,66.4133697869748
Black Soil,70.7266840546589,75.6721925259916,36.6429424038962
Yellow Soil,29.4872559533542,18.5212867525018,77.8991024408947
Cinder Soil,18.9046303926376,9.15751428244117,84.278717472644
Cinder Soil,137.924406385954,33.5034462596438,87.9012940867823
Yellow Soil,108.417928463269,55.0324406756567,93.4754592837577
Cinder Soil,138.617285101061,43.6155111048835,92.8216510278381
Yellow Soil,77.3925676676482,89.6540224867763,22.3134048233381
Peat Soil,20.7447801575167,82.7164963311279,68.0346890693234
Cinder Soil,123.126944994469,35.3436902358503,84.6022158072697
Yellow Soil,46.0217403101925,46.6955504710484,63.2568939116214
Peat Soil,12.5535991030226,40.123539899957,69.1912371891492
Laterite Soil,109.513616007882,17.1418751308978,28.5113403867843
Cinder Soil,43.1296496321858,65.8898094337168,43.3807796749368
Cinder Soil,93.7056869229952,35.4913147095124,29.6521654463117
Yellow Soil,130.82751062407,13.2724326593434,61.0882026815594
Cinder Soil,120.692133334863,14.2553941755248,98.4677848533061
Cinder Soil,132.346713769907,89.6894252272128,36.8299592234737
Laterite Soil,76.8733666105746,27.583723214924,40.8525282219105
Laterite Soil,127.184178856294,72.429714250068,67.4942327722514
Cinder Soil,18.8716362108562,31.1672562682292,84.2523009652207
Laterite Soil,32.8610209305539,14.9387813821137,70.5261898777052
Cinder Soil,10.6867833092576,71.7865090868731,65.6279430745604
Yellow Soil,123.059338307503,30.7396279925802,41.8615918633345
Yellow Soil,90.9007688621446,53.749249038755,33.9722003585891
Yellow Soil,30.402290264654,35.5128432835944,88.7442520644337
Yellow Soil,115.775233493049,67.895154019196,58.4881980494108
Cinder Soil,77.4181742097777,79.5954540821811,14.2064232427744
Peat Soil,100.242472505342,84.2215175368479,85.511463327159
